,TEAM_NAME,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,FG2M,FG2A,FG2_PCT,OUTCOME,DEFICIT_FGM,DEFICIT_FGA,DEFICIT_FG3M,DEFICIT_FG3A,DEFICIT_FTM,DEFICIT_FTA,DEFICIT_OREB,DEFICIT_DREB,DEFICIT_REB,DEFICIT_AST,DEFICIT_STL,DEFICIT_BLK,DEFICIT_TO,DEFICIT_PF,DEFICIT_FG2M,DEFICIT_FG2A
0,Spurs,8,21,0.381,9,11,0.818,6,42,48,29,7,9,14,9,99,33,58,0.5689655172413793,1,0.5466666666666666,0.4647058823529412,0.47058823529411764,0.4375,0.47368421052631576,0.5238095238095238,0.3157894736842105,0.5753424657534246,0.5217391304347826,0.5471698113207547,0.5833333333333334,0.6428571428571429,0.56,0.391304347826087,0.5689655172413793,0.47540983606557374
1,Nets,9,27,0.333,10,10,1.0,13,31,44,24,5,5,11,14,87,25,64,0.390625,0,0.4533333333333333,0.5352941176470588,0.5294117647058824,0.5625,0.5263157894736842,0.47619047619047616,0.6842105263157895,0.4246575342465753,0.4782608695652174,0.4528301886792453,0.4166666666666667,0.35714285714285715,0.44,0.6086956521739131,0.43103448275862066,0.5245901639344263
2,Suns,12,31,0.387,18,20,0.9,13,38,51,17,10,4,12,19,106,26,54,0.48148148148148145,1,0.5507246376811594,0.5029585798816568,0.631578947368421,0.5740740740740741,0.5625,0.5,0.4642857142857143,0.5428571428571428,0.5204081632653061,0.4857142857142857,0.5263157894736842,0.4444444444444444,0.46153846153846156,0.48717948717948717,0.52,0.46956521739130436
3,Pacers,7,23,0.304,14,20,0.7,15,32,47,18,9,5,14,20,83,24,61,0.39344262295081966,0,0.4492753623188406,0.4970414201183432,0.3684210526315789,0.42592592592592593,0.4375,0.5,0.5357142857142857,0.45714285714285713,0.47959183673469385,0.5142857142857142,0.47368421052631576,0.5555555555555556,0.5384615384615384,0.5128205128205128,0.48,0.5304347826086957
4,Kings,8,26,0.308,25,30,0.833,14,36,50,24,4,2,18,19,113,32,55,0.5818181818181818,1,0.5194805194805194,0.47368421052631576,0.5714285714285714,0.6046511627906976,0.5434782608695652,0.5263157894736842,0.4827586206896552,0.6206896551724138,0.5747126436781609,0.5106382978723404,0.2857142857142857,0.2222222222222222,0.6428571428571429,0.4418604651162791,0.5079365079365079,0.4296875
5,Timberwolves,6,17,0.353,21,27,0.778,15,22,37,23,10,7,10,24,101,31,73,0.4246575342465753,0,0.4805194805194805,0.5263157894736842,0.42857142857142855,0.3953488372093023,0.45652173913043476,0.47368421052631576,0.5172413793103449,0.3793103448275862,0.42528735632183906,0.48936170212765956,0.7142857142857143,0.7777777777777778,0.35714285714285715,0.5581395348837209,0.49206349206349204,0.5703125
6,76ers,8,26,0.308,15,25,0.6,10,26,36,13,8,1,18,21,83,22,49,0.4489795918367347,0,0.47619047619047616,0.5319148936170213,0.5714285714285714,0.6046511627906976,0.4411764705882353,0.5434782608695652,0.625,0.43333333333333335,0.47368421052631576,0.4642857142857143,0.5333333333333333,0.3333333333333333,0.5,0.4883720930232558,0.4489795918367347,0.5
7,Knicks,6,17,0.353,19,21,0.905,6,34,40,15,7,2,18,22,91,27,49,0.5510204081632653,1,0.5238095238095238,0.46808510638297873,0.42857142857142855,0.3953488372093023,0.5588235294117647,0.45652173913043476,0.375,0.5666666666666667,0.5263157894736842,0.5357142857142857,0.4666666666666667,0.6666666666666666,0.5,0.5116279069767442,0.5510204081632653,0.5
8,Raptors,8,24,0.333,38,42,0.905,8,26,34,20,8,6,8,26,110,24,56,0.42857142857142855,1,0.47761194029850745,0.4968944099378882,0.7272727272727273,0.6,0.6551724137931034,0.5915492957746479,0.42105263157894735,0.4262295081967213,0.425,0.45454545454545453,0.6666666666666666,0.5,0.3076923076923077,0.48148148148148145,0.42857142857142855,0.4628099173553719
9,Cavaliers,3,16,0.188,20,29,0.69,11,35,46,24,4,6,18,28,93,32,65,0.49230769230769234,0,0.5223880597014925,0.5031055900621118,0.2727272727272727,0.4,0.3448275862068966,0.4084507042253521,0.5789473684210527,0.5737704918032787,0.575,0.5454545454545454,0.3333333333333333,0.5,0.6923076923076923,0.5185185185185185,0.5714285714285714,0.5371900826446281
