,TEAM_NAME,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,FG2M,FG2A,FG2_PCT,OUTCOME,DEFICIT_FGM,DEFICIT_FGA,DEFICIT_FG3M,DEFICIT_FG3A,DEFICIT_FTM,DEFICIT_FTA,DEFICIT_OREB,DEFICIT_DREB,DEFICIT_REB,DEFICIT_AST,DEFICIT_STL,DEFICIT_BLK,DEFICIT_TO,DEFICIT_PF,DEFICIT_FG2M,DEFICIT_FG2A
0,Rockets,11,29,0.379,34,51,0.667,13,38,51,17,11,4,22,20,113,23,44,0.522727272727,1,0.472222222222,0.421965317919,0.55,0.517857142857,0.62962962963,0.671052631579,0.448275862069,0.584615384615,0.542553191489,0.459459459459,0.55,0.363636363636,0.611111111111,0.350877192982,0.442307692308,0.376068376068
1,Mavericks,9,27,0.333,20,25,0.8,16,27,43,20,9,7,14,37,105,29,73,0.397260273973,0,0.527777777778,0.578034682081,0.45,0.482142857143,0.37037037037,0.328947368421,0.551724137931,0.415384615385,0.457446808511,0.540540540541,0.45,0.636363636364,0.388888888889,0.649122807018,0.557692307692,0.623931623932
