,TEAM_NAME,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,FG2M,FG2A,FG2_PCT,OUTCOME,DEFICIT_FGM,DEFICIT_FGA,DEFICIT_FG3M,DEFICIT_FG3A,DEFICIT_FTM,DEFICIT_FTA,DEFICIT_OREB,DEFICIT_DREB,DEFICIT_REB,DEFICIT_AST,DEFICIT_STL,DEFICIT_BLK,DEFICIT_TO,DEFICIT_PF,DEFICIT_FG2M,DEFICIT_FG2A
0,Pelicans,14,32,0.438,12,17,0.706,10,32,42,19,6,6,19,25,98,22,46,0.478260869565,1,0.537313432836,0.52,0.736842105263,0.68085106383,0.387096774194,0.377777777778,0.5,0.5,0.5,0.513513513514,0.352941176471,0.666666666667,0.558823529412,0.595238095238,0.458333333333,0.446601941748
1,Heat,5,15,0.333,19,28,0.679,10,32,42,18,11,3,15,17,86,26,57,0.456140350877,0,0.462686567164,0.48,0.263157894737,0.31914893617,0.612903225806,0.622222222222,0.5,0.5,0.5,0.486486486486,0.647058823529,0.333333333333,0.441176470588,0.404761904762,0.541666666667,0.553398058252
2,Raptors,6,18,0.333,27,35,0.771,7,23,30,21,10,3,14,31,99,27,57,0.473684210526,1,0.52380952381,0.539568345324,0.545454545455,0.58064516129,0.482142857143,0.466666666667,0.35,0.418181818182,0.4,0.538461538462,0.625,0.428571428571,0.341463414634,0.534482758621,0.519230769231,0.527777777778
3,Kings,5,13,0.385,29,40,0.725,13,32,45,18,6,4,27,27,94,25,51,0.490196078431,0,0.47619047619,0.460431654676,0.454545454545,0.41935483871,0.517857142857,0.533333333333,0.65,0.581818181818,0.6,0.461538461538,0.375,0.571428571429,0.658536585366,0.465517241379,0.480769230769,0.472222222222
4,Pelicans,9,24,0.375,18,28,0.643,12,31,43,17,14,3,15,27,87,21,58,0.362068965517,0,0.491803278689,0.525641025641,0.529411764706,0.558139534884,0.439024390244,0.5,0.461538461538,0.462686567164,0.462365591398,0.414634146341,0.7,0.375,0.394736842105,0.509433962264,0.477272727273,0.513274336283
5,Hawks,8,19,0.421,23,28,0.821,14,36,50,24,6,5,23,26,93,23,55,0.418181818182,1,0.508196721311,0.474358974359,0.470588235294,0.441860465116,0.560975609756,0.5,0.538461538462,0.537313432836,0.537634408602,0.585365853659,0.3,0.625,0.605263157895,0.490566037736,0.522727272727,0.486725663717
6,Wizards,4,15,0.267,21,33,0.636,8,39,47,17,8,3,19,33,85,26,58,0.448275862069,1,0.545454545455,0.496598639456,0.333333333333,0.416666666667,0.477272727273,0.507692307692,0.4,0.582089552239,0.540229885057,0.485714285714,0.5,0.3,0.5,0.578947368421,0.604651162791,0.522522522523
7,Bulls,8,21,0.381,23,32,0.719,12,28,40,18,8,7,19,24,81,17,53,0.320754716981,0,0.454545454545,0.503401360544,0.666666666667,0.583333333333,0.522727272727,0.492307692308,0.6,0.417910447761,0.459770114943,0.514285714286,0.5,0.7,0.5,0.421052631579,0.395348837209,0.477477477477
8,76ers,5,14,0.357,11,26,0.423,12,39,51,14,7,7,27,31,78,26,63,0.412698412698,0,0.508196721311,0.466666666667,0.3125,0.297872340426,0.289473684211,0.412698412698,0.428571428571,0.52,0.495145631068,0.451612903226,0.368421052632,0.875,0.6,0.534482758621,0.577777777778,0.533898305085
9,Celtics,11,33,0.333,27,37,0.73,16,36,52,17,12,1,18,27,98,19,55,0.345454545455,1,0.491803278689,0.533333333333,0.6875,0.702127659574,0.710526315789,0.587301587302,0.571428571429,0.48,0.504854368932,0.548387096774,0.631578947368,0.125,0.4,0.465517241379,0.422222222222,0.466101694915
