TEAM_NAME,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,FG2M,FG2A,FG2_PCT,OUTCOME,DEFICIT_FGM,DEFICIT_FGA,DEFICIT_FG3M,DEFICIT_FG3A,DEFICIT_FTM,DEFICIT_FTA,DEFICIT_OREB,DEFICIT_DREB,DEFICIT_REB,DEFICIT_AST,DEFICIT_STL,DEFICIT_BLK,DEFICIT_TO,DEFICIT_PF,DEFICIT_FG2M,DEFICIT_FG2A
Bulls,4,17,0.235,21,24,0.875,22,29,51,24,5,5,12,18,95,31,71,0.436619718,1,0.492957746,0.520710059,0.571428571,0.607142857,0.636363636,0.6,0.647058824,0.537037037,0.579545455,0.558139535,0.357142857,0.333333333,0.52173913,0.428571429,0.484375,0.503546099
Jazz,5,17,0.294,19,21,0.905,9,32,41,20,15,6,27,17,82,24,53,0.452830189,0,0.467741935,0.476190476,0.277777778,0.333333333,0.513513514,0.5,0.529411765,0.561403509,0.554054054,0.454545455,0.483870968,0.666666667,0.574468085,0.459459459,0.545454545,0.552083333
Rockets,13,34,0.382,18,21,0.857,8,25,33,24,16,3,20,20,97,20,43,0.465116279,1,0.532258065,0.523809524,0.722222222,0.666666667,0.486486486,0.5,0.470588235,0.438596491,0.445945946,0.545454545,0.516129032,0.333333333,0.425531915,0.540540541,0.454545455,0.447916667
Spurs,9,24,0.375,17,20,0.85,9,36,45,21,9,2,11,19,108,32,60,0.533333333,1,0.561643836,0.509090909,0.75,0.615384615,0.395348837,0.434782609,0.5625,0.507042254,0.517241379,0.552631579,0.5625,0.333333333,0.458333333,0.513513514,0.524590164,0.476190476
Timberwolves,3,15,0.2,26,26,1,7,35,42,17,7,4,13,18,93,29,66,0.439393939,0,0.438356164,0.490909091,0.25,0.384615385,0.604651163,0.565217391,0.4375,0.492957746,0.482758621,0.447368421,0.4375,0.666666667,0.541666667,0.486486486,0.475409836,0.523809524
Trail Blazers,10,26,0.385,21,26,0.808,6,37,43,22,6,8,20,17,103,26,50,0.52,1,0.493150685,0.452380952,0.769230769,0.553191489,0.583333333,0.565217391,0.260869565,0.536231884,0.467391304,0.5,0.375,1,0.555555556,0.435897436,0.433333333,0.41322314
Magic,3,21,0.143,15,20,0.75,17,32,49,22,10,0,16,22,92,34,71,0.478873239,0,0.506849315,0.547619048,0.230769231,0.446808511,0.416666667,0.434782609,0.739130435,0.463768116,0.532608696,0.5,0.625,0,0.444444444,0.564102564,0.566666667,0.58677686
Wizards,5,20,0.25,12,15,0.8,8,31,39,25,5,7,19,16,89,31,56,0.553571429,0,0.461538462,0.460606061,0.238095238,0.392156863,0.375,0.384615385,0.380952381,0.516666667,0.481481481,0.423728814,0.263157895,0.7,0.703703704,0.516129032,0.543859649,0.49122807
Hawks,16,31,0.516,20,24,0.833,13,29,42,34,14,3,8,15,120,26,58,0.448275862,1,0.538461538,0.539393939,0.761904762,0.607843137,0.625,0.615384615,0.619047619,0.483333333,0.518518519,0.576271186,0.736842105,0.3,0.296296296,0.483870968,0.456140351,0.50877193
Heat,6,21,0.286,20,24,0.833,15,31,46,28,8,5,12,20,104,33,60,0.55,1,0.534246575,0.519230769,0.4,0.446808511,0.606060606,0.571428571,0.714285714,0.596153846,0.630136986,0.622222222,0.666666667,0.714285714,0.48,0.454545455,0.568965517,0.550458716
Clippers,9,26,0.346,13,18,0.722,6,21,27,17,4,2,13,24,90,25,49,0.510204082,0,0.465753425,0.480769231,0.6,0.553191489,0.393939394,0.428571429,0.285714286,0.403846154,0.369863014,0.377777778,0.333333333,0.285714286,0.52,0.545454545,0.431034483,0.449541284
Suns,8,35,0.229,18,23,0.783,9,37,46,20,14,7,20,27,110,34,65,0.523076923,0,0.466666667,0.5,0.470588235,0.625,0.514285714,0.489361702,0.45,0.4625,0.46,0.454545455,0.666666667,0.466666667,0.454545455,0.519230769,0.465753425,0.451388889
Grizzlies,9,21,0.429,17,24,0.708,11,43,54,24,7,8,24,25,122,39,79,0.493670886,1,0.533333333,0.5,0.529411765,0.375,0.485714286,0.510638298,0.55,0.5375,0.54,0.545454545,0.333333333,0.533333333,0.545454545,0.480769231,0.534246575,0.548611111
Kings,6,17,0.353,13,17,0.765,7,38,45,20,8,4,4,11,103,36,69,0.52173913,1,0.56,0.524390244,0.352941176,0.346938776,0.65,0.586206897,0.538461538,0.520547945,0.523255814,0.526315789,0.8,0.4,0.222222222,0.379310345,0.620689655,0.6
Cavaliers,11,32,0.344,7,12,0.583,6,35,41,18,2,6,14,18,84,22,46,0.47826087,0,0.44,0.475609756,0.647058824,0.653061224,0.35,0.413793103,0.461538462,0.479452055,0.476744186,0.473684211,0.2,0.6,0.777777778,0.620689655,0.379310345,0.4
Trail Blazers,13,31,0.419,11,17,0.647,6,37,43,28,5,0,11,18,106,28,55,0.509090909,1,0.532467532,0.51497006,0.65,0.58490566,0.423076923,0.472222222,0.461538462,0.493333333,0.488636364,0.49122807,0.714285714,0,0.458333333,0.45,0.49122807,0.48245614
Lakers,7,22,0.318,15,19,0.789,7,38,45,29,2,4,13,22,94,29,59,0.491525424,0,0.467532468,0.48502994,0.35,0.41509434,0.576923077,0.527777778,0.538461538,0.506666667,0.511363636,0.50877193,0.285714286,1,0.541666667,0.55,0.50877193,0.51754386
Pelicans,6,15,0.4,32,37,0.865,16,29,45,20,7,6,18,23,100,25,60,0.416666667,0,0.455882353,0.460122699,0.428571429,0.384615385,0.551724138,0.544117647,0.484848485,0.517857143,0.505617978,0.454545455,0.466666667,0.545454545,0.620689655,0.5,0.462962963,0.483870968
Celtics,8,24,0.333,26,31,0.839,17,27,44,24,8,5,11,23,108,29,64,0.453125,1,0.544117647,0.539877301,0.571428571,0.615384615,0.448275862,0.455882353,0.515151515,0.482142857,0.494382022,0.545454545,0.533333333,0.454545455,0.379310345,0.5,0.537037037,0.516129032
Rockets,16,40,0.4,15,20,0.75,12,30,42,22,9,2,14,18,113,25,46,0.543478261,1,0.5125,0.505882353,0.761904762,0.655737705,0.483870968,0.526315789,0.52173913,0.5,0.506024096,0.55,0.5625,0.333333333,0.466666667,0.5,0.423728814,0.422018349
Nets,5,21,0.238,16,18,0.889,11,30,41,18,7,4,16,18,99,34,63,0.53968254,0,0.4875,0.494117647,0.238095238,0.344262295,0.516129032,0.473684211,0.47826087,0.5,0.493975904,0.45,0.4375,0.666666667,0.533333333,0.5,0.576271186,0.577981651
Raptors,7,27,0.259,10,14,0.714,10,32,42,29,4,7,18,20,111,40,60,0.666666667,0,0.534090909,0.475409836,0.5,0.5625,0.285714286,0.311111111,0.37037037,0.524590164,0.477272727,0.547169811,0.285714286,0.636363636,0.692307692,0.571428571,0.540540541,0.444444444
Pistons,7,21,0.333,25,31,0.806,17,29,46,24,10,4,8,15,114,34,75,0.453333333,1,0.465909091,0.524590164,0.5,0.4375,0.714285714,0.688888889,0.62962963,0.475409836,0.522727273,0.452830189,0.714285714,0.363636364,0.307692308,0.428571429,0.459459459,0.555555556
Magic,7,18,0.389,18,29,0.621,2,32,34,28,10,3,10,25,121,41,63,0.650793651,1,0.539325843,0.490909091,0.466666667,0.4,0.428571429,0.467741935,0.153846154,0.5,0.441558442,0.528301887,0.625,0.375,0.416666667,0.555555556,0.554054054,0.525
Bulls,8,27,0.296,24,33,0.727,11,32,43,25,6,5,14,20,114,33,57,0.578947368,0,0.460674157,0.509090909,0.533333333,0.6,0.571428571,0.532258065,0.846153846,0.5,0.558441558,0.471698113,0.375,0.625,0.583333333,0.444444444,0.445945946,0.475
Timberwolves,10,20,0.5,18,19,0.947,7,27,34,22,11,3,15,23,110,31,67,0.462686567,1,0.5125,0.520958084,0.666666667,0.526315789,0.5,0.387755102,0.411764706,0.465517241,0.453333333,0.5,0.55,0.375,0.46875,0.547619048,0.476923077,0.519379845
Pacers,5,18,0.278,18,30,0.6,10,31,41,22,9,5,17,19,101,34,62,0.548387097,0,0.4875,0.479041916,0.333333333,0.473684211,0.5,0.612244898,0.588235294,0.534482759,0.546666667,0.5,0.45,0.625,0.53125,0.452380952,0.523076923,0.480620155
76ers,9,25,0.36,16,25,0.64,12,23,35,20,8,6,18,22,87,22,51,0.431372549,0,0.424657534,0.466257669,0.428571429,0.520833333,0.64,0.609756098,0.444444444,0.418181818,0.426829268,0.37037037,0.571428571,0.666666667,0.529411765,0.564102564,0.423076923,0.443478261
Hawks,12,23,0.522,9,16,0.563,15,32,47,34,6,3,16,17,105,30,64,0.46875,1,0.575342466,0.533742331,0.571428571,0.479166667,0.36,0.390243902,0.555555556,0.581818182,0.573170732,0.62962963,0.428571429,0.333333333,0.470588235,0.435897436,0.576923077,0.556521739
Wizards,6,12,0.5,21,24,0.875,8,40,48,20,4,7,15,14,101,31,63,0.492063492,1,0.493333333,0.438596491,0.4,0.292682927,0.724137931,0.666666667,0.5,0.606060606,0.585365854,0.434782609,0.571428571,0.636363636,0.681818182,0.451612903,0.516666667,0.484615385
